id                                    , pId                                , name                                                                        , isParent, flag, open , checked
8a8b2cef71709fc9017170dd8daa000c      , 646f43a68bb3d4b75f35df316b8f6bcf   , 中债-3年恒定久期政策性金融债指数                                            , false   ,    1, false, False
8a8b2cef73c6017e0173c882dd1c7801      , 9e024a8a04c88094e46b6a4cfb1abb14   , 中债-制造行业信用债指数                                                     , false   ,    1, false, False
8a8b2cef75860ac0017587c644a02fde      , 7147b0a793a4-4b32-8ce7-050c8ecb7c27, 中债-ESG优选信用债指数                                                      , false   ,    1, false, False
8a8b2cef7aa21a08017aa48317a73dfd_tpfzs, 32d6a67894eaa44ce55c27b24b753ee7   , 中债-中国碳排放配额现货综合价格指数                                         , false   ,    1, false, False
8a8b2ca0540790160154091b513d370e      , fce8a6a12bed2b25217e57c80f17d36b   , 中债-农发行债券总指数                                                       , false   ,    1, false, False
8a8b2cef6e240cdb016e258eeb133878      , 1c0d88f431bad357232deeb20e08d28f   , 中债-工行1-5年期关键期限政策性金融债指数                                    , false   ,    1, false, False
20e35c92ef7b9a439fcaa8fce5835ea5      , 66634f5f88df-4617-a911-10541268b242, 中债-金融高质量发展主题信用债指数                                           , false   ,    1, false, False
85f86947411dd367018d7f8fde1dc295      , f47f1ac9b6385ba44daea6493ddf833c   , 中债-绿色债券综合指数                                                       , false   ,    1, false, False
f0a558e12cff880b83185f001453d23d_tpfzs, 32d6a67894eaa44ce55c27b24b753ee7   , 中债-中国碳排放配额现货挂牌协议价格指数                                     , false   ,    1, false, False
e64577b1837d486249264f7fe793091a      , ee18df0b32a1c633541f9183f2d11cac   , 中债-短融AAA指数                                                            , false   ,    1, false, False
8a8b2ca055eba5e10155ed6ebc530895      , 83a6de769da842728bebdd397595ee51   , 中债-银行间资产支持证券指数                                                 , false   ,    1, false, False
GB00BGFQ2C03_hbzs                     , 44371826a61c63cc9f3647608d7511c8   , iBoxx ChinaBond Government & Policy Banks Bond Index (EU EOD) (USD Hedged)  , false   ,    0, false, False
5cc7a4278c0c1cc0f82dc018c3c15fd1      , 9e024a8a04c88094e46b6a4cfb1abb14   , 中债-电力行业信用债指数                                                     , false   ,    1, false, False
2c9081e918ad26f40118e90afbee66ae      , 4ec43d0af064d4803c262486111fd80f   , 中债-货币市场基金可投资债券指数                                             , false   ,    1, false, False
978a5b988dfe640d0d083981803d0675_dzc  , 67bbc3a5b9af-4b85-b1d6-096a962a807d, 中债-股债恒定组合10/90指数                                                  , false   ,    1, false, False
8a8b2c836775df980167785153790d6b      , 7f3f99da544243d4ee201d6b109603fb   , 中债-市场隐含评级AAA信用债指数                                              , false   ,    1, false, False
8a8b2c8366e0872b0166e27908f90131      , 6758847e822fbddaeae05593f240a1a7   , 中债-1-3年久期央企20债券指数                                                , false   ,    1, false, False
2c9081e50e8767dc010e8797a5d70019      , e3cca5f0924fc65ece8f8d2c74cf97f5   , 中债-浮动利率债券指数                                                       , false   ,    1, false, False
8a8b2c836308e88d01630b7f2e0b01e9_sczs , 2056dcf5ddc23a1682a4ba9fac3035de   , 中债-金融机构人民币超额存款准备金利率指数                                   , false   ,    1, false, False
8a8b2cef7194ac4e017196d186c6008e      , 646f43a68bb3d4b75f35df316b8f6bcf   , 中债-5年恒定久期政策性金融债指数                                            , false   ,    1, false, False
2c90818811afed8d0111c0c672b31578      , 3d22add59b29e70bf1ff34f2e2e757c8   , 中债-综合指数                                                               , false   ,    1, false, False
8a8b2cef70bc61380170be069828032b      , df8adccb4bb98ce366dd1d240677ef57   , 中债-0-1年国债指数                                                          , false   ,    1, false, False
8a8b2c836303c237016304feb2160006      , cef689d1888db98e4bf5bf09cdea2a50   , 中债-长三角地方政府债指数                                                   , false   ,    1, false, False
8a8b2cef73a1f4f80173a2c0b2a4000e      , 646f43a68bb3d4b75f35df316b8f6bcf   , 中债-信用债价值因子精选策略指数                                             , false   ,    1, false, False
8a8b2cef74419a1a017441efb9630004      , 1c0d88f431bad357232deeb20e08d28f   , 中债-工行1-10年国债及政策性金融债指数                                       , false   ,    1, false, False
8a8b2cef7832f8920178350801470014      , df8adccb4bb98ce366dd1d240677ef57   , 中债-0-10年国债指数                                                         , false   ,    1, false, False
919b67003f58136c9f8949e0576443ad_dzc  , 67bbc3a5b9af-4b85-b1d6-096a962a807d, 中债-股债恒定组合20/80指数                                                  , false   ,    1, false, False
947d07b68357a6e40c93bf839efc2187      , 32d6a67894eaa44ce55c27b24b753ee7   , 中债-电力行业优质转型企业信用债指数                                         , false   ,    1, false, False
GB00BGFQ2F34_hbzs                     , 44371826a61c63cc9f3647608d7511c8   , iBoxx ChinaBond Government & Policy Banks Bond Index (EU EOD) (USD Unhedged), false   ,    0, false, False
0af700ba10feefc9a5191983eaadfc51      , 9e024a8a04c88094e46b6a4cfb1abb14   , 中债-建筑工程行业信用债指数                                                 , false   ,    1, false, False
2c9081e50e8767dc010e879387370009      , 3d22add59b29e70bf1ff34f2e2e757c8   , 中债-总指数                                                                 , false   ,    1, false, False
2c9081e50e8767dc010e87a6a60b0050      , e3cca5f0924fc65ece8f8d2c74cf97f5   , 中债-固定利率国债指数                                                       , false   ,    1, false, False
2c9081e50e8767dc010e87b559ee0078      , 83a6de769da842728bebdd397595ee51   , 中债-银行间国债指数                                                         , false   ,    1, false, False
2c9081e918ad26f40118adc37a600c0d      , ee18df0b32a1c633541f9183f2d11cac   , 中债-短融AA指数                                                             , false   ,    1, false, False
430a7631f7ea66036a91f37e8b4b1c9c      , 66634f5f88df-4617-a911-10541268b242, 中债-共同富裕主题债券指数                                                   , false   ,    1, false, False
8a8b2c836775df980167785085850d62      , 7f3f99da544243d4ee201d6b109603fb   , 中债-市场隐含评级AAA-信用债指数                                             , false   ,    1, false, False
8a8b2ca054079016015408674cce0017      , f47f1ac9b6385ba44daea6493ddf833c   , 中债-中国绿色债券指数                                                       , false   ,    1, false, False
